frame_index,x_pos_mm,y_pos_mm,u_vel_mm/sec,v_vel_mm/sec,sig2noise
0,3.19,3.4836,0.65264,-0.34153,1.4181
0,3.4004,3.7104,0.69896,-0.42585,1.3867
0,3.6116,3.9381,0.72264,-0.45899,1.4151
0,3.8237,4.1669,0.79528,-0.49806,1.3645
0,4.0368,4.3969,0.71871,-0.56747,1.3464
0,4.2513,4.6284,0.67618,-0.60078,1.4125
0,4.4672,4.8616,0.6491,-0.76816,1.0356
0,4.6848,5.0966,0.58629,-0.92696,1.2281
0,4.9042,5.3336,0.54135,-0.96873,1.2946
0,5.1255,5.5727,0.41745,-0.94143,1.3786
0,5.3489,5.8141,0.43861,-0.9813,1.3357
0,5.5744,6.058,0.42064,-1.1748,1.3953
0,5.8022,6.3042,0.45551,-1.1951,1.3862
0,6.0322,6.553,0.4773,-1.2756,1.261
0,6.2646,6.8043,0.52458,-1.3664,1.2826
0,6.4991,7.058,0.53266,-1.3531,1.3066
0,6.7357,7.3139,0.51775,-1.5923,1.199
0,6.9742,7.5718,0.52506,-1.4458,1.1791
0,7.2142,7.8313,0.47758,-1.3875,1.1335
0,2.1367,2.7836,0.32232,-0.31895,1.054
0,2.346,3.009,0.28276,-0.2684,1.6281
0,2.5553,3.2346,0.37793,-0.32641,1.6818
0,2.7648,3.4605,0.57746,-0.34055,1.4976
0,2.9745,3.687,0.70831,-0.41308,1.3677
0,3.1848,3.9141,0.74606,-0.47809,1.5996
0,3.3957,4.1423,0.79779,-0.48371,1.4941
0,3.6075,4.3715,0.72574,-0.46171,1.321
0,3.8203,4.6021,0.70436,-0.53018,1.3471
0,4.0344,4.8342,0.69085,-0.68196,1.3504
0,4.2498,5.068,0.697,-0.73432,1.3527
0,4.4669,5.3037,0.67173,-0.84265,1.3562
0,4.6857,5.5415,0.56024,-0.90964,1.361
0,4.9063,5.7814,0.52141,-1.0309,1.3896
0,5.129,6.0237,0.51921,-1.0959,1.2923
0,5.3538,6.2684,0.49433,-1.1074,1.3121
0,5.5808,6.5157,0.48539,-1.2962,1.3031
0,5.81,6.7654,0.4797,-1.3041,1.2787
0,6.0414,7.0177,0.50274,-1.3192,1.2681
0,6.2751,7.2723,0.54043,-1.3368,1.2828
0,6.5108,7.5292,0.49043,-1.2379,1.2923
0,6.7483,7.7881,0.46044,-1.3247,1.4016
0,6.9874,8.0486,0.48846,-1.2479,1.3472
0,1.9207,2.9864,0.30874,-0.32276,1.0657
0,2.1302,3.212,0.25195,-0.32354,1.4167
0,2.3396,3.4378,0.36986,-0.39327,1.5216
0,2.5491,3.664,0.42104,-0.39578,1.3885
0,2.7588,3.8908,0.66651,-0.43819,1.4523
0,2.9689,4.1184,0.69588,-0.47446,1.463
0,3.1797,4.347,0.79634,-0.45044,1.503
0,3.3912,4.5768,0.71838,-0.51597,1.4573
0,3.6038,4.808,0.73044,-0.5248,1.4493
0,3.8175,5.0408,0.66703,-0.59968,1.2202
0,4.0326,5.2753,0.65505,-0.70571,1.3149
0,4.2491,5.5118,0.63511,-0.87174,1.3794
0,4.4674,5.7503,0.59992,-0.95436,1.2934
0,4.6874,5.9912,0.56343,-1.1335,1.246
0,4.9094,6.2344,0.45863,-1.1186,1.3035
0,5.1335,6.48,0.49026,-1.0839,1.3724
0,5.3597,6.7282,0.50155,-1.3043,1.3196
0,5.5881,6.979,0.47741,-1.364,1.398
0,5.8187,7.2322,0.47129,-1.3307,1.2713
0,6.0515,7.4879,0.49253,-1.3352,1.2645
0,6.2863,7.7458,0.48828,-1.3565,1.2856
0,6.5229,8.0056,0.5739,-1.4675,1.1972
0,6.761,8.267,0.53353,-1.5344,1.1628
0,1.704,3.1895,0.32118,-0.33495,1.1461
0,1.9138,3.4154,0.2915,-0.32272,1.3646
0,2.1233,3.6415,0.3702,-0.39226,1.3791
0,2.3329,3.8681,0.50578,-0.3861,1.1064
0,2.5426,4.0953,0.66405,-0.44267,1.2889
0,2.7527,4.3234,0.67055,-0.39095,1.4761
0,2.9633,4.5526,0.79491,-0.50816,1.4094
0,3.1747,4.783,0.74828,-0.61989,1.3473
0,3.3871,5.0148,0.74679,-0.54858,1.3607
0,3.6005,5.2483,0.75222,-0.64845,1.1662
0,3.8152,5.4836,0.673,-0.78738,1.3526
0,4.0313,5.7209,0.69048,-0.87561,1.3585
0,4.2491,5.9603,0.55978,-0.9935,1.2982
0,4.4686,6.2021,0.57107,-1.0375,1.3307
0,4.69,6.4462,0.47508,-1.1058,1.3586
0,4.9134,6.6929,0.4339,-1.105,1.2745
0,5.1389,6.9421,0.50109,-1.2929,1.2959
0,5.3666,7.1938,0.47493,-1.3255,1.2848
0,5.5963,7.4481,0.43126,-1.379,1.3198
0,5.8282,7.7048,0.44519,-1.3377,1.3667
0,6.0621,7.9636,0.3849,-1.3107,1.2369
0,6.2978,8.2244,0.72937,-1.5085,1.2536
0,6.535,8.4866,0.57344,-1.5222,1.2318
0,1.4865,3.3932,0.22121,-0.27841,1.848
0,1.6966,3.6194,0.33171,-0.33749,1.6091
0,1.9063,3.8459,0.35961,-0.35413,1.4731
0,2.116,4.0729,0.47683,-0.35459,1.4666
0,2.3258,4.3006,0.64024,-0.44353,1.3261
0,2.5359,4.5293,0.67418,-0.42299,1.3465
0,2.7465,4.759,0.73678,-0.48771,1.3949
0,2.9578,4.9901,0.75115,-0.52236,1.528
0,3.17,5.2227,0.7552,-0.54052,1.4283
0,3.3832,5.457,0.69231,-0.53088,1.3883
0,3.5976,5.6931,0.65484,-0.70117,1.2607
0,3.8133,5.9312,0.70128,-0.79623,1.3146
0,4.0307,6.1716,0.54814,-0.93505,1.3177
0,4.2497,6.4143,0.57789,-1.0281,1.3057
0,4.4706,6.6594,0.46218,-1.11,1.364
0,4.6934,6.9071,0.41513,-1.0686,1.2555
0,4.9182,7.1573,0.47481,-1.3312,1.295
0,5.1451,7.4101,0.47401,-1.3459,1.3707
0,5.3741,7.6654,0.42906,-1.404,1.3168
0,5.6051,7.9231,0.52643,-1.3693,1.3755
0,5.8381,8.1829,0.58017,-1.4916,1.2155
0,6.0729,8.4445,0.64178,-1.5187,1.2954
0,6.3091,8.7075,0.71429,-1.6157,1.1768
0,1.2681,3.5977,0.25551,-0.28866,1.6235
0,1.4784,3.8243,0.37515,-0.37334,1.4493
0,1.6884,4.0512,0.38739,-0.39845,1.517
0,1.8983,4.2787,0.49459,-0.39648,1.4341
0,2.1083,4.507,0.62529,-0.39062,1.4038
0,2.3185,4.7362,0.69437,-0.40609,1.3574
0,2.5291,4.9667,0.70844,-0.41153,1.4006
0,2.7403,5.1985,0.74983,-0.51479,1.5808
0,2.9524,5.4318,0.77158,-0.57192,1.5709
0,3.1654,5.6669,0.75837,-0.63014,1.3687
0,3.3795,5.9039,0.69309,-0.68147,1.2733
0,3.595,6.143,0.66363,-0.84063,1.2389
0,3.8119,6.3843,0.62784,-0.94272,1.2655
0,4.0305,6.628,0.50048,-1.0066,1.2115
0,4.2509,6.8742,0.45602,-1.0923,1.3527
0,4.4731,7.1229,0.49635,-1.2475,1.2384
0,4.6973,7.3741,0.33467,-1.6053,1.1723
0,4.9236,7.6279,0.50628,-1.2176,1.2917
0,5.1518,7.8842,0.49549,-1.3054,1.2918
0,5.3821,8.1428,0.53365,-1.3986,1.2607
0,5.6142,8.4035,0.63093,-1.4109,1.21
0,5.8481,8.6659,0.59042,-1.5094,1.2238
0,6.0834,8.9296,0.71334,-1.4988,1.1915
0,1.0485,3.8031,0.24298,-0.30379,1.5768
0,1.2592,4.0301,0.35861,-0.37413,1.6441
0,1.4695,4.2575,0.39413,-0.3956,1.6267
0,1.6797,4.4856,0.45658,-0.37578,1.4485
0,1.8898,4.7145,0.54536,-0.36102,1.3976
0,2.1001,4.9444,0.67142,-0.41015,1.3526
0,2.3108,5.1755,0.70968,-0.45658,1.3311
0,2.5221,5.4081,0.75789,-0.52556,1.3799
0,2.734,5.6423,0.74074,-0.59894,1.2342
0,2.9469,5.8783,0.76809,-0.70582,1.3114
0,3.1609,6.1162,0.6933,-0.75049,1.309
0,3.3761,6.3563,0.61865,-0.83193,1.2061
0,3.5927,6.5986,0.58439,-0.89792,1.2788
0,3.8109,6.8433,0.48851,-1.0081,1.1782
0,4.0309,7.0905,0.39234,-1.0226,1.1912
0,4.2526,7.3403,0.5234,-1.3545,1.3396
0,4.4762,7.5926,0.4371,-1.6486,1.2039
0,4.7018,7.8474,0.43766,-1.3562,1.2459
0,4.9294,8.1047,0.4295,-1.2431,1.1759
0,5.1589,8.3642,0.48464,-1.3747,1.2486
0,5.3902,8.6257,0.54369,-1.3702,1.2651
0,5.6232,8.8888,0.44307,-1.1338,1.2075
0,5.8576,9.1531,0.59765,-1.5287,1.1113
0,0.8275,4.0096,0.28864,-0.27606,1.6945
0,1.0386,4.2371,0.38887,-0.37654,1.5546
0,1.2494,4.4651,0.39874,-0.41741,1.3854
0,1.4598,4.6937,0.48266,-0.39476,1.3067
0,1.6702,4.9233,0.55129,-0.37815,1.3958
0,1.8807,5.1539,0.62263,-0.4341,1.4383
0,2.0915,5.3859,0.73532,-0.5359,1.3346
0,2.3028,5.6193,0.73737,-0.48961,1.4416
0,2.5148,5.8543,0.66328,-0.50057,1.3183
0,2.7276,6.0912,0.71888,-0.64353,1.3547
0,2.9415,6.3301,0.69678,-0.84153,1.3013
0,3.1565,6.5712,0.64013,-0.85684,1.2227
0,3.3729,6.8146,0.55039,-0.87903,1.252
0,3.5908,7.0603,0.61423,-1.1755,1.2674
0,3.8103,7.3086,0.54536,-1.1587,1.2063
0,4.0316,7.5594,0.58115,-1.3162,1.2297
0,4.2547,7.8128,0.57898,-1.3621,1.2613
0,4.4797,8.0686,0.51763,-1.387,1.2805
0,4.7066,8.3268,0.58406,-1.5647,1.2019
0,4.9353,8.5872,0.51319,-1.4213,1.2804
0,5.1659,8.8494,0.49124,-1.375,1.2288
0,5.398,9.1132,0.62556,-1.4959,1.1569
0,5.6315,9.3779,0.5575,-1.969,1.1965
0,0.60505,4.2173,0.30795,-0.27888,1.6841
0,0.81667,4.4453,0.42315,-0.4069,1.5372
0,1.0278,4.6739,0.43167,-0.39685,1.3696
0,1.2386,4.9033,0.41921,-0.36774,1.272
0,1.4493,5.1336,0.48307,-0.41854,1.2122
0,1.6601,5.365,0.55771,-0.43009,1.3586
0,1.8711,5.5978,0.62944,-0.42293,1.3094
0,2.0825,5.832,0.62023,-0.42897,1.3096
0,2.2945,6.068,0.69077,-0.52771,1.3867
0,2.5074,6.3059,0.77202,-0.75188,1.3152
0,2.7211,6.5458,0.74683,-0.72205,1.2048
0,2.936,6.7879,0.69289,-0.82766,1.2078
0,3.1522,7.0324,0.57401,-0.86775,1.2314
0,3.3698,7.2792,0.58783,-0.99411,1.2433
0,3.589,7.5285,0.54032,-1.1065,1.2811
0,3.8099,7.7804,0.48807,-1.1302,1.2445
